term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,outcome,n,pct_change
llc,0.4207179174423428,0.018735516964373183,22.455634303679243,0.0,0.38399697896043217,0.4574388559242535,ppml_dobviol_bis,DOB violations 2020-26 (BIS only),765287,52.30545906735067
corp_other,0.3232852626409004,0.022588720546271524,14.311800527996775,0.0,0.2790121839133683,0.3675583413684325,ppml_dobviol_bis,DOB violations 2020-26 (BIS only),765287,38.165943051283605
trust_estate,-0.037681390377525034,0.03550911345895066,-1.0611751943929995,0.2886102902426879,-0.10727797388001484,0.03191519312496477,ppml_dobviol_bis,DOB violations 2020-26 (BIS only),765287,-3.6980280633459373
nycha,0.7471514385248116,0.07383138828497497,10.119699166985058,0.0,0.6024445765576681,0.891858300491955,ppml_dobviol_bis,DOB violations 2020-26 (BIS only),765287,111.09781927620021
govt,0.48233441579872166,0.08037902059418575,6.000750099132354,1.9640806758758345e-09,0.3247944303215142,0.6398744012759291,ppml_dobviol_bis,DOB violations 2020-26 (BIS only),765287,61.98513986341367
owner_occ_star,-0.428034598589023,0.022661583747306657,-18.888114942094248,0.0,-0.4724504865663823,-0.3836187106116637,ppml_dobviol_bis,DOB violations 2020-26 (BIS only),765287,-34.82111365664042
is_coop,0.4455167006627119,0.0327993439683201,13.583097914794365,0.0,0.3812311677682634,0.5098022335571604,ppml_dobviol_bis,DOB violations 2020-26 (BIS only),765287,56.1296710496396
is_condo,0.22906860688564054,0.03352403357654545,6.832966753914263,8.317568855886748e-12,0.16336270845909995,0.29477450531218113,ppml_dobviol_bis,DOB violations 2020-26 (BIS only),765287,25.74283042904828
era_pre1940,0.3691761094670444,0.026917112571137294,13.715293885678692,0.0,0.31641953825980496,0.4219326806742838,ppml_dobviol_bis,DOB violations 2020-26 (BIS only),765287,44.654233104310784
era_4079,0.1930968914788307,0.029858409556347207,6.46708563342694,9.991096838746216e-11,0.1345754841127436,0.2516182988449178,ppml_dobviol_bis,DOB violations 2020-26 (BIS only),765287,21.300031722006253
era_8099,0.17601939526367505,0.04510655569200453,3.902301839793895,9.528223546295678e-05,0.08761217064069597,0.2644266198866541,ppml_dobviol_bis,DOB violations 2020-26 (BIS only),765287,19.246118652551814
era_unknown,0.34545783316173756,0.14445485307811218,2.391458824681615,0.016781566198434517,0.06233152373661266,0.6285841425868625,ppml_dobviol_bis,DOB violations 2020-26 (BIS only),765287,41.26365234839622
mixed_use,0.8149074194329755,0.020038640900962107,40.66680088038554,0.0,0.7756324049679585,0.8541824338979925,ppml_dobviol_bis,DOB violations 2020-26 (BIS only),765287,125.89665262665281
