term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,n,pct_change
p_black,-0.018763697072590523,0.06390323195781347,-0.29362673056939614,0.76904314766656,-0.14401173020561395,0.10648433606043291,ppml_n_agency,458134,-1.8588754805351049
p_hispanic,-0.02829819610455995,0.04772434823786561,-0.5929509181250064,0.553214000178466,-0.12183619983642416,0.06523980762730425,ppml_n_agency,458134,-2.7901552393317153
p_asian,0.2781782268621885,0.04122789428982669,6.747330458029994,1.5059065106015623e-11,0.19737303889570362,0.3589834148286734,ppml_n_agency,458134,32.072156429433264
owner_occ_star,-0.08793459592971968,0.028918754154673623,-3.0407463426465893,0.002359925530959428,-0.14461431255064805,-0.03125487930879131,ppml_n_agency,458134,-8.417922682921885
era_pre1940,-0.03581094698344823,0.0496554158783851,-0.7211891462384601,0.4707931487371826,-0.1331337737424414,0.06151187977554493,ppml_n_agency,458134,-3.51773211197951
era_4079,-0.40474936557720465,0.05254841184503742,-7.702409099837115,1.3322676295501878e-14,-0.507742360238256,-0.3017563709161533,ppml_n_agency,458134,-33.28560008428221
era_8099,-1.0301490536739877,0.08814592214530438,-11.68686002258659,0.0,-1.2029118864628559,-0.8573862208851195,ppml_n_agency,458134,-64.30462486643502
era_unknown,1.3684486696466707,0.17312199033873413,7.904534062767735,2.6645352591003757e-15,1.0291358036508604,1.707761535642481,ppml_n_agency,458134,292.9250399496176
mixed_use,0.6377858877758903,0.05217433331229367,12.224131048467289,0.0,0.5355260735664062,0.7400457019853743,ppml_n_agency,458134,89.22865029307982
mzone,0.03226209723261328,0.11166489608611739,0.2889188846576487,0.7726434518519048,-0.1865970774335845,0.25112127189881106,ppml_n_agency,458134,3.278816075335622
multi_bldg,0.06260202313354825,0.026359271317120084,2.3749527208246026,0.017551198149420744,0.010938800693273201,0.1142652455738233,ppml_n_agency,458134,6.460306751840372
log2_area_per_unit,0.8184597403882036,0.04360392856351891,18.77032110067636,0.0,0.7329976108192492,0.903921869957158,ppml_n_agency,458134,126.70053702183549
value_rank,-0.2401786522697039,0.09535956618316589,-2.518663432343753,0.011780119981710246,-0.4270799675700727,-0.05327733696933504,ppml_n_agency,458134,-21.351265923372942
any_prior_viol,0.5527809106648867,0.02933937529461477,18.84092299560139,0.0,0.49527679175853745,0.6102850295712359,ppml_n_agency,458134,73.80797479116464
geo_nyc_other,0.06268118202257557,0.02326786812099556,2.693894502780671,0.007062251417835563,0.0170769985083966,0.10828536553675454,ppml_n_agency,458134,6.468734365004192
geo_outside_nyc,0.1640094469354936,0.046302017500352045,3.5421663199502396,0.0003968551640585183,0.07325916022326028,0.2547597336477269,ppml_n_agency,458134,17.822544565992928
geo_unknown,-0.61230727958403,0.028380356280519162,-21.575038506628257,0.0,-0.6679317557622627,-0.5566828034057972,ppml_n_agency,458134,-45.790134812956694
multi_prop_owner,0.25468472656894264,0.028696230216588986,8.875198053774747,0.0,0.1984411488523582,0.3109283042855271,ppml_n_agency,458134,29.0054836737514
p_black,0.05700447523534529,0.06284922332023232,0.9070036545224021,0.36440486466531796,-0.06617773892862497,0.18018668939931554,ppml_n_cold_agency,452224,5.866054814000243
p_hispanic,0.08182962938375025,0.05022150350609015,1.6293743450716707,0.103233796378148,-0.016602708737638514,0.180261967505139,ppml_n_cold_agency,452224,8.527089580672186
p_asian,0.26742393296374695,0.03929826171688879,6.804981220042591,1.0106138148557875e-11,0.19040075534361572,0.34444711058387817,ppml_n_cold_agency,452224,30.65942373046713
owner_occ_star,-0.0766805243454943,0.03284135862203107,-2.3348767396624837,0.019549860802925867,-0.14104840444803918,-0.012312644242949422,ppml_n_cold_agency,452224,-7.381429987115906
era_pre1940,-0.0600450695359682,0.048307974817399534,-1.2429639156461016,0.21388113083191662,-0.1547269603441392,0.03463682127220281,ppml_n_cold_agency,452224,-5.82779103497999
era_4079,-0.4105461037456696,0.05665958511957028,-7.245836743761586,4.298783551348606e-13,-0.5215968499590089,-0.29949535753233025,ppml_n_cold_agency,452224,-33.671207280913116
era_8099,-0.9648673021813536,0.12133238728500696,-7.952265044574642,1.7763568394002505e-15,-1.2026744114182328,-0.7270601929444743,ppml_n_cold_agency,452224,-61.89662412666566
era_unknown,1.386353309040553,0.21267495340337972,6.518648702421777,7.094369536275735e-11,0.9695180599561946,1.8031885581249116,ppml_n_cold_agency,452224,300.0235798632501
mixed_use,0.7248575789071356,0.061806808709739515,11.727794947499248,0.0,0.6037184598366896,0.8459966979775817,ppml_n_cold_agency,452224,106.44370596460271
mzone,0.11623874272250752,0.1353086169989567,0.8590638593505379,0.390305285098675,-0.14896127339337178,0.3814387588383868,ppml_n_cold_agency,452224,12.326401123198805
multi_bldg,0.050414588210936695,0.03154610558517341,1.5981239926690485,0.11001538497816243,-0.011414642588501042,0.11224381901037443,ppml_n_cold_agency,452224,5.170703133958421
log2_area_per_unit,0.5856440390885129,0.040631162595958795,14.413666793446898,0.0,0.5060084237504427,0.6652796544265831,ppml_n_cold_agency,452224,79.61474023469894
value_rank,-0.09322992363231458,0.11130375059034606,-0.837617089611362,0.40224579167277286,-0.3113812661336217,0.12492141886899252,ppml_n_cold_agency,452224,-8.901598053996873
any_prior_viol,0.41227627011559786,0.03495513547013503,11.794440632846023,0.0,0.3437654635194146,0.4807870767117811,ppml_n_cold_agency,452224,51.02516160874997
geo_nyc_other,0.06974640712261457,0.02599985342343706,2.6825692432459265,0.007305902567735334,0.01878763080935749,0.12070518343587164,ppml_n_cold_agency,452224,7.22362353017485
geo_outside_nyc,0.14411008116818402,0.05700112751847163,2.528197027707638,0.011464999166527878,0.03238992415380461,0.25583023818256345,ppml_n_cold_agency,452224,15.501124651431809
geo_unknown,-0.43510182842657236,0.029278203359827965,-14.86094700139855,0.0,-0.4924860525438748,-0.3777176043092699,ppml_n_cold_agency,452224,-35.28012395089508
multi_prop_owner,0.20970087245667104,0.03212567610103797,6.5275162395693735,6.686917686238303e-11,0.14673570431963745,0.27266604059370464,ppml_n_cold_agency,452224,23.330908805698968
p_black,-0.07071495618623214,0.08564087543911499,-0.8257150084425026,0.4089657764674737,-0.23856798765137843,0.09713807527891416,ppml_n_warm_agency,453029,-6.827256257807268
p_hispanic,-0.09524284319957085,0.0617058169693279,-1.5434986177545174,0.12270984261005702,-0.21618402209607407,0.025698335696932362,ppml_n_warm_agency,453029,-9.084787375280534
p_asian,0.2846972283644479,0.05171942156443584,5.504648345878177,3.6990587481966486e-08,0.18332902479690938,0.3860654319319864,ppml_n_warm_agency,453029,32.93594748412569
owner_occ_star,-0.0942378971821802,0.03697990437684307,-2.548354268898333,0.010823249677579083,-0.16671717791252777,-0.02175861645183265,ppml_n_warm_agency,453029,-8.993376570664191
era_pre1940,-0.016986895182504645,0.0619687502557015,-0.2741203447287812,0.7839921396122296,-0.13844341385063688,0.10446962348562758,ppml_n_warm_agency,453029,-1.6843431362110417
era_4079,-0.397393071760477,0.06314975485413292,-6.29286800365891,3.116533697777868e-10,-0.521164316907111,-0.273621826613843,ppml_n_warm_agency,453029,-32.79301979536097
era_8099,-1.0758553979740488,0.0895116341236049,-12.019168329431018,0.0,-1.251294977053641,-0.9004158188944567,ppml_n_warm_agency,453029,-65.89940652782782
era_unknown,1.3717415761862448,0.21908115286945376,6.26133995653948,3.8168335159127764e-10,0.9423504068706015,1.8011327455018882,ppml_n_warm_agency,453029,294.221038012411
mixed_use,0.5881894016564465,0.06579293033982876,8.940009186676658,0.0,0.45923762775302945,0.7171411755598636,ppml_n_warm_agency,453029,80.07250721545923
mzone,-0.00965795500082597,0.13387265303478588,-0.07214285204549145,0.9424882240483461,-0.2720435334638331,0.2527276234621812,ppml_n_warm_agency,453029,-0.9611466734329221
multi_bldg,0.07006266693032602,0.03288978376286434,2.1302258304730284,0.03315297349902724,0.005599875295801637,0.1345254585648504,ppml_n_warm_agency,453029,7.257539415567638
log2_area_per_unit,0.9384795993096179,0.0528859262292085,17.74535620766537,0.0,0.834825088611327,1.0421341100079087,ppml_n_warm_agency,453029,155.60921781643975
value_rank,-0.3088926826995629,0.11032670234379281,-2.7997998321114665,0.0051134303874804665,-0.5251290458264676,-0.09265631957265816,ppml_n_warm_agency,453029,-26.574043544753224
any_prior_viol,0.6234345271782612,0.036348504966479026,17.151586502751602,0.0,0.552192766552087,0.6946762878044354,ppml_n_warm_agency,453029,86.53235572274147
geo_nyc_other,0.058764631513616584,0.029890926457766132,1.965968890146214,0.04930220432386068,0.00017949219185953852,0.11734977083537362,ppml_n_warm_agency,453029,6.052559705763327
geo_outside_nyc,0.1744766698427632,0.05916187601886526,2.9491402501693305,0.003186593286240047,0.05852152358796335,0.290431816097563,ppml_n_warm_agency,453029,19.06229646400113
geo_unknown,-0.7263957739700968,0.03708857210670815,-19.585433806407305,0.0,-0.7990880395372616,-0.653703508402932,ppml_n_warm_agency,453029,-51.635096711356084
multi_prop_owner,0.27799106329564344,0.036436875889266224,7.629387989806656,2.353672812205332e-14,0.20657609884352576,0.3494060277477611,ppml_n_warm_agency,453029,32.047439646707396
