word,z,n_strict,n_lenient
front property,0.4351396906854607,49,27
vacant lot,0.47374027085300036,94,53
link fence,0.49483555426045917,41,22
activity progress,0.5194084128609617,36,19
front door,0.5468195957170335,131,74
illegal curb,0.5522773482075937,66,36
fence erected,0.5644236954984176,54,29
observed supported,0.5661032919610512,40,21
storage room,0.6187070801252135,37,19
entry door,0.6304296498512024,136,76
rendered non,0.6330092030433112,81,44
building facade,0.6603053321798233,41,21
exp rear,0.6603053321798233,41,21
permit expired,0.7156311021114947,235,133
structure rendered,0.7332204541287902,79,42
chain link,0.7367553971084049,49,25
upon request,0.7381294339782238,65,34
nan observed,0.7619130853242515,60,31
posted vacate,0.7893974967925967,55,28
observed one,0.8119042227093237,39,19
sws permit,0.8119042227093237,39,19
vehicle parked,0.8320327328090658,84,44
site unsafe,0.9295180500126795,64,32
inspection new,0.9609785229189725,48,23
served licensee,0.9630824897536374,35,16
installed exposure,1.0219428499318017,45,21
side yard,1.0299826687423832,69,34
code renew,1.0608602376366956,36,16
observed nan,1.080706039929171,55,26
corrective action,1.1023576570579048,90,45
work contrary,1.1038377121503733,59,28
full stop work order,1.1383609904553396,105,53
cse unit,1.1566726023316392,37,16
building violation,1.1861076755919255,45,20
observed basement,1.1861076755919255,45,20
approved construction,1.228567222608063,55,25
electrical panel,1.3410545783027548,37,15
excessive amount,1.3426776984473248,39,16
curb cut,1.3427607306148064,328,177
measure repair,1.345147630419932,41,17
exp front,1.3521466453738384,45,19
vehicle observed,1.3720099085390391,53,23
overhead protection,1.3832915338071965,89,42
fence permit,1.4335621720151193,315,168
safety manager,1.4466408826001567,52,22
observed new,1.5004340920983437,72,32
basement level,1.5038111757169625,104,49
active job,1.5171036766352648,161,80
observed job,1.5199648267476542,78,35
construction superintendent,1.526666559846384,80,36
building closed,1.5284845349300646,55,23
electrical work,1.5407163520679117,355,189
access zone,1.612782594170028,40,15
active jobsite,1.689555484798196,67,28
wall exposure,1.6998458341665001,41,15
contrary stop work order,1.7071587413754226,39,14
common area,1.710680657658537,79,34
maintain fence,1.7240001548076256,85,37
maintain construction,1.7294616465420332,123,57
rear yard,1.7620295429917496,399,210
valid certificate,1.7628330953863904,50,19
living room,1.7717007084438245,46,17
observed crack,1.7778161092992064,44,16
foundation phase,1.7778161092992064,44,16
building department,1.7852554062196704,42,15
activity construction,1.8048806431532223,38,13
guardrail system,1.8268464204344441,65,26
condition certificate,1.8568620677837835,50,0
pedestrian using,1.8753398422257486,51,0
same failure,1.8753398422257486,51,0
floor floor,1.879530757657727,41,14
masonry wall,1.879530757657727,41,14
flex hose,1.8917739810987324,39,13
condition create,1.8936373643744762,52,0
illegal occupancy,1.896622702203944,66,26
strt wrk,1.9117598098408266,53,0
further class,1.9117598098408266,53,0
underside lighting,1.9117598098408266,53,0
record reveal,1.9117598098408266,53,0
district rca,1.929712111207985,54,0
shift safety,1.932259514958598,48,17
family house,1.932259514958598,48,17
permitted sidewalk,1.9474989737138404,55,0
bldg code,1.9474989737138404,55,0
ahv construction,1.9474989737138404,55,0
rpr undr,1.965124889655771,56,0
rear building,1.9653203600552407,83,34
front building,1.9726860888315807,91,38
zoning regulation,1.9821374756889563,57,21
