term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,outcome,scale,sample,n,label
owner_occ_star,0.0005712980586459846,0.017633520650913805,0.03239841152290701,0.974154329245583,-0.03398976733778838,0.03513236345508034,tract_ppml_ncomp,complaint count,log,universe,766382,Owner-occupied (STAR)
is_coop,-0.3069095069861056,0.04390589414082755,-6.990166422797302,2.745581539898012e-12,-0.3929634782111558,-0.22085553576105538,tract_ppml_ncomp,complaint count,log,universe,766382,Co-op building
is_condo,-0.4814932487612832,0.03397148179868988,-14.173454417282795,0.0,-0.5480761295881733,-0.414910367934393,tract_ppml_ncomp,complaint count,log,universe,766382,Condominium
era_pre1940,-0.09487617560576073,0.02219492696585061,-4.274678432226354,1.9141335861672104e-05,-0.1383774330983248,-0.05137491811319666,tract_ppml_ncomp,complaint count,log,universe,766382,Built before 1940 (vs 2000+)
era_4079,-0.17949004926316742,0.025790923144708554,-6.959427092085025,3.4166003359814567e-12,-0.2300393297548367,-0.12894076877149813,tract_ppml_ncomp,complaint count,log,universe,766382,Built 1940-1979 (vs 2000+)
era_8099,-0.42028990417389234,0.04033621279054557,-10.41966697162021,0.0,-0.49934742851610553,-0.34123237983167914,tract_ppml_ncomp,complaint count,log,universe,766382,Built 1980-1999 (vs 2000+)
era_unknown,0.5414480925605251,0.08908951160645265,6.077573923093643,1.2201444299364539e-09,0.3668358584116147,0.7160603267094354,tract_ppml_ncomp,complaint count,log,universe,766382,Construction year unknown
mzone,-0.10898850520667476,0.051042858353698047,-2.1352351479113154,0.03274180724953024,-0.2090306692479024,-0.008946341165447125,tract_ppml_ncomp,complaint count,log,universe,766382,Manufacturing zoning
multi_bldg,0.12078105333993208,0.014042167511481839,8.601311246370848,0.0,0.09325891075254923,0.14830319592731492,tract_ppml_ncomp,complaint count,log,universe,766382,Multiple buildings on lot
com_class,-0.16353131421645767,0.038102878244453395,-4.291836253610652,1.7720160735867907e-05,-0.2382115832829011,-0.08885104515001424,tract_ppml_ncomp,complaint count,log,universe,766382,Commercial/mixed building class (S/K/O)
log_bldgarea,0.6648369213300025,0.0363877533564558,18.270897761047106,0.0,0.5935182352730226,0.7361556073869824,tract_ppml_ncomp,complaint count,log,universe,766382,Log total floor area
log2_area_per_unit,-0.10916825270322514,0.02819508583238467,-3.871889355195198,0.00010799497631741595,-0.16442960547571464,-0.05390689993073564,tract_ppml_ncomp,complaint count,log,universe,766382,Floor area per unit (per doubling)
value_rank,-0.19438512758125767,0.03526263572893249,-5.512495693047909,3.537808512810159e-08,-0.2634986236099207,-0.12527163155259466,tract_ppml_ncomp,complaint count,log,universe,766382,Assessed value rank within type (0-1)
any_prior_viol,0.5388754491179704,0.012576914563349119,42.84639498850763,0.0,0.5142251495371688,0.5635257486987719,tract_ppml_ncomp,complaint count,log,universe,766382,Any violation 2010-2019
llc,6.047896968819969,0.16386127100776743,36.908641875072995,0.0,5.726557668949167,6.369236268690771,tract_lpm_anyviol,any violation (pp),pp,universe,766400,LLC owner (vs individual)
corp_other,2.9361502472528103,0.2769646937006112,10.601171607911448,0.0,2.3930100640031218,3.4792904305024988,tract_lpm_anyviol,any violation (pp),pp,universe,766400,Corporate/org owner (vs individual)
trust_estate,-1.464451532758881,0.09668317573395079,-15.146911772827002,0.0,-1.6540515755790102,-1.2748514899387517,tract_lpm_anyviol,any violation (pp),pp,universe,766400,Trust/estate owner (vs individual)
nycha,-8.96338678065369,2.6914496083659665,-3.330319376143009,0.0008818181332277408,-14.241440145373828,-3.6853334159335542,tract_lpm_anyviol,any violation (pp),pp,universe,766400,NYCHA
govt,4.90232445678871,1.275421013585526,3.8436911455669494,0.00012464118054844597,2.4011666601629624,7.403482253414458,tract_lpm_anyviol,any violation (pp),pp,universe,766400,Other government owner
owner_occ_star,-0.36711093979611387,0.11238596645138914,-3.2665194008444303,0.0011055476926595809,-0.5875048593152721,-0.14671702027695563,tract_lpm_anyviol,any violation (pp),pp,universe,766400,Owner-occupied (STAR)
is_coop,-6.448468960037096,0.6945229942469985,-9.284745089006769,0.0,-7.810459693679853,-5.086478226394339,tract_lpm_anyviol,any violation (pp),pp,universe,766400,Co-op building
is_condo,-10.283658431035722,0.5603863565183669,-18.351014994239375,0.0,-11.382601203499789,-9.184715658571655,tract_lpm_anyviol,any violation (pp),pp,universe,766400,Condominium
era_pre1940,0.38054271121988886,0.1963093163244556,1.9384852351629427,0.052692046501369605,-0.004428660464553924,0.7655140829043316,tract_lpm_anyviol,any violation (pp),pp,universe,766400,Built before 1940 (vs 2000+)
era_4079,-0.4093861465472309,0.19710781937205654,-2.076965530091337,0.03792074865175454,-0.7959234185123363,-0.022848874582125533,tract_lpm_anyviol,any violation (pp),pp,universe,766400,Built 1940-1979 (vs 2000+)
era_8099,-2.277418638474915,0.23480519868585342,-9.699183200461759,0.0,-2.737882161598449,-1.816955115351381,tract_lpm_anyviol,any violation (pp),pp,universe,766400,Built 1980-1999 (vs 2000+)
era_unknown,5.510818034938043,2.035334990306249,2.7075729848818897,0.0068302436903175945,1.5194348559527309,9.502201213923355,tract_lpm_anyviol,any violation (pp),pp,universe,766400,Construction year unknown
mzone,0.2688644468943118,0.6245621134195335,0.43048472060249526,0.6668853234879548,-0.9559298624489134,1.493658756237537,tract_lpm_anyviol,any violation (pp),pp,universe,766400,Manufacturing zoning
multi_bldg,0.05911806004760403,0.08849552416781305,0.668034463929488,0.5041817961002475,-0.11442563092277011,0.23266175101797817,tract_lpm_anyviol,any violation (pp),pp,universe,766400,Multiple buildings on lot
com_class,-4.982309991441602,0.5882955568823491,-8.469059358267419,0.0,-6.135983957248426,-3.8286360256347773,tract_lpm_anyviol,any violation (pp),pp,universe,766400,Commercial/mixed building class (S/K/O)
log_bldgarea,9.212939451151652,0.773820244136213,11.905787579175724,0.0,7.695443254843025,10.730435647460277,tract_lpm_anyviol,any violation (pp),pp,universe,766400,Log total floor area
log2_area_per_unit,-3.416018011932678,0.5386416874256046,-6.34191168577996,2.746689542476588e-10,-4.472318513290114,-2.3597175105752424,tract_lpm_anyviol,any violation (pp),pp,universe,766400,Floor area per unit (per doubling)
value_rank,-2.6503494108270975,0.3100953864186801,-8.546884368181754,0.0,-3.258460368053965,-2.04223845360023,tract_lpm_anyviol,any violation (pp),pp,universe,766400,Assessed value rank within type (0-1)
any_prior_viol,5.9799318991104276,0.12824906044762022,46.62749090121222,0.0,5.728429740974641,6.231434057246214,tract_lpm_anyviol,any violation (pp),pp,universe,766400,Any violation 2010-2019
llc,0.5706434232369126,0.01901790863102643,30.005582333377422,0.0,0.5333690072588274,0.6079178392149979,tract_ppml_nviol,violation count,log,universe,766248,LLC owner (vs individual)
