word,z,n_asian,n_white
secondary,-2.184694329147683,57,30
refused,-2.16847470230341,27,17
how,-2.1637541784901737,72,36
checked,-2.1479225174985004,25,16
work,-2.130147367898631,596,226
permit,-2.125082903627646,1136,412
cut,-2.1141186348512044,58,30
bell,-2.107186515037159,39,22
salon,-2.0907345577195726,30,18
license,-2.082466226130675,91,43
however,-2.077175719759527,86,41
place,-2.0683638006175977,296,119
school,-2.0656613294070385,28,17
person,-2.0584263859790335,288,116
see,-2.0538703475628575,372,146
completely,-2.041153708944878,26,16
commercial,-2.031719781567695,275,111
put,-2.0271678375495132,231,95
previou,-2.0271235279218627,92,43
can,-2.0258538586458283,535,203
black,-2.0217270672206604,33,19
couple,-2.0133442466341935,113,51
stranger,-1.9931772325255377,31,18
away,-1.9796884221105422,55,28
equipment,-1.9745812697010268,70,34
but,-1.9721179008962026,891,325
last,-1.9420846656468396,176,74
visible,-1.9418677800509252,58,29
clearly,-1.9364430156242178,27,16
stating,-1.9364430156242178,27,16
bronx,-1.9287733226888701,34,19
existing,-1.9085084145722644,25,15
needed,-1.9085084145722644,25,15
corner,-1.8972871950818522,32,18
suitcase,-1.8972871950818522,32,18
roof,-1.8899321833573404,79,37
used,-1.8885018206040307,1199,428
asked,-1.88849851821966,44,23
told,-1.8755723967566753,100,45
placed,-1.8541447237085,42,22
drive,-1.843869266506972,47,24
end,-1.8373173492488173,35,19
note,-1.8373173492488173,35,19
call,-1.8371181745732756,106,47
residential,-1.8370705036041253,1105,395
few,-1.8365452705926106,138,59
trying,-1.8215747851953752,75,35
structural,-1.8030290680054462,33,18
time,-1.7988796960401412,554,206
gain,-1.771687822088412,63,30
online,-1.735141391173507,41,21
neighboring,-1.7279602317884686,51,25
selling,-1.7108898813741311,130,55
escape,-1.7052189215664837,64,30
anything,-1.6977582207812916,59,28
bad,-1.6973257522538026,27,15
help,-1.6924680952084012,54,26
operation,-1.6726731507681933,32,17
class,-1.6652815805490133,131,55
he',-1.6587704195728303,37,19
smoking,-1.6523009448496848,42,21
addition,-1.6500514930831023,99,43
period,-1.634213025728646,30,16
foundation,-1.634213025728646,30,16
closed,-1.6291264892299977,60,28
called,-1.61516007747006,89,39
public,-1.6144749867617116,50,24
got,-1.6124615142485035,40,20
own,-1.5959426260444927,138,57
little,-1.5949518831744545,28,15
properly,-1.5949518831744545,28,15
again,-1.5742170432645453,66,30
compliance,-1.574078290639548,48,23
party,-1.5715147247815344,114,48
bnb,-1.5650562966896862,74,33
wiring,-1.5612109539598615,61,28
order,-1.5576960987328,117,49
plumbing,-1.5426845469592823,153,62
heavy,-1.5372767266137206,31,16
located,-1.4962094361900244,182,72
check,-1.4961436511392603,132,54
stop,-1.4939997674882914,62,28
space,-1.493012423489025,1295,451
friend,-1.4865632407089213,34,17
bar,-1.4865632407089213,34,17
guy,-1.4793941015852465,57,26
egress,-1.4778610246643045,149,60
certificate,-1.474511652753717,116,48
file,-1.4549731162138433,47,22
cash,-1.4457302610806684,68,30
item,-1.4369679729335367,55,25
registered,-1.4369679729335367,55,25
pipe,-1.427481228940222,63,28
goe,-1.427481228940222,63,28
allowed,-1.427481228940222,63,28
stair,-1.419362885059204,98,41
air,-1.4177773401684282,218,84
unit,-1.4149940369759133,942,331
information,-1.4107441108486825,45,21
utility,-1.3959548557415398,35,17
past,-1.3816720161108347,239,91
never,-1.3786303096635812,118,48
kind,-1.3783218885314827,48,22
door,-1.3775571599660756,992,347
window,-1.3754313958763826,515,186
fence,-1.366985510858914,99,41
inspection,-1.3590043396155955,214,82
why,-1.3489862283499388,28,14
dob,-1.3479721377945824,481,174
share,-1.321524632221326,54,24
zillow,-1.3182271668999035,41,19
week,-1.3141063598415161,221,84
operating,-1.3086173027341268,139,55
store,-1.3022378216941453,103,42
doesn't,-1.3006945276547326,73,31
level,-1.3005870407530278,128,51
stored,-1.2851836316698113,44,20
covered,-1.2851836316698113,44,20
line,-1.2688233532116782,208,79
find,-1.257192145912631,34,16
landlord,-1.2497656311236294,1009,350
pay,-1.248837097858898,93,38
reside,-1.2399306225693514,74,31
large,-1.2204289766824974,158,61
staying,-1.2078420403186658,80,33
connected,-1.2031276202134018,53,23
light,-1.166279541049786,89,36
build,-1.1644345341131606,78,32
drug,-1.1538995977009592,92,37
feet,-1.1538995977009592,92,37
smoke,-1.152206981618688,120,47
homeowner,-1.1513998159010528,154,59
ongoing,-1.150630601785628,106,42
occupied,-1.1408224829595228,290,106
else,-1.0955704860582385,28,13
personal,-1.0955704860582385,28,13
unpermitted,-1.0955704860582385,28,13
extension,-1.093456565868614,164,62
start,-1.0789122861292533,36,16
look,-1.0765697823650502,199,74
purpose,-1.0762948550240812,44,19
locked,-1.0762948550240812,44,19
issue,-1.0720690010345972,354,127
driveway,-1.0716970390075535,416,148
convertedinto,-1.0611212837884283,55,23
rule,-1.056233631994385,31,14
close,-1.0519544591218188,47,20
thru,-1.0480372870600962,80,32
adding,-1.0480372870600962,80,32
went,-1.0423130205638749,58,24
care,-1.0423130205638749,58,24
