word,z,n_asian,n_white
created,1.6023156352756944,267,69
split,1.609225183446192,89,19
high,1.609225183446192,89,19
potential,1.611159557534012,70,14
extra,1.614555311185684,155,37
sleep,1.6497767089460114,51,9
six,1.6506555229835553,116,26
progress,1.653716697413491,47,8
kid,1.6613652030195345,192,47
complaining,1.661426058584496,71,14
drinking,1.6885685569761584,35,5
become,1.6885685569761584,35,5
noise,1.6940433111025341,298,77
hotel,1.7055372878503023,204,50
pose,1.7069109670232334,68,13
throughout,1.7110819183660217,72,14
rooming,1.7112302783213162,48,8
believe,1.728347496705735,268,68
approximately,1.7450499157852974,92,19
investigate,1.7767925337055943,224,55
making,1.7857370987744805,291,74
activity,1.8102797225906473,175,41
concerned,1.8119980216148885,120,26
peopleliving,1.8231094692081038,50,8
sink,1.8270206240088158,90,18
bring,1.8578964179235584,63,11
unauthorized,1.8900444128740803,47,7
balcony,1.8900444128740803,47,7
overcrowding,1.903874178089915,76,14
taking,1.9664389951456043,139,30
poor,1.983114812031758,40,5
approved,1.9969519915706497,78,14
brought,2.016070713188069,45,6
cause,2.0416052331154293,83,15
originally,2.0636169461615514,230,54
dwelling,2.074239186074718,414,106
happened,2.086065073349448,55,8
smaller,2.1164445445414537,38,4
make,2.131877331445188,343,85
alot,2.132688234681808,81,14
well,2.152217745214495,511,133
queen,2.1865233789185705,164,35
modified,2.1879096343034377,74,12
original,2.2050287067821284,187,41
cook,2.2811877696003418,59,8
illegally,2.3068425789444564,2226,645
mohamed,2.308922091464827,99,0
turned,2.3133442794888714,557,144
added,2.3196874466169355,453,114
anillegal,2.342604895200648,47,5
built,2.374560060166278,385,94
approval,2.3805376229947086,166,34
location,2.3829083738054235,396,97
men,2.4460983315146594,117,21
renovated,2.4928960461175635,81,12
speak,2.501514922181047,46,4
immigrant,2.5716013591912703,61,7
four,2.5741391055831015,259,57
bike,2.59224520174801,57,6
accommodate,2.6145324787291075,62,7
third,2.624662749881798,138,25
small,2.6409681663872795,239,51
least,2.6617037677993323,303,68
gas,2.662328718047775,624,158
different,2.7221181083316566,504,123
inside,2.7348549587369777,444,106
tank,2.7436287714321694,45,2
chinese,2.747446088958709,48,1
additional,2.764299590054248,251,53
altered,2.798298536009991,349,79
made,2.8493696330522345,819,211
including,2.860438279912758,296,64
three,2.8665238350971185,561,137
conversion,2.876163357136631,1760,488
jamaica,2.926330039300702,53,3
partition,2.9362925638930877,70,7
too,2.9841490678135,263,54
detail,3.108370733252427,97,12
overcrowded,3.3393335812196905,160,25
renting,3.430280084159951,1363,357
lot,3.515480278043642,632,147
baby,3.550139647984507,80,5
subdivided,3.7130721491271026,177,26
garage,3.754469994230049,1637,429
many,3.775882569567056,676,155
flushing,3.7832452663013436,96,7
bathroom,3.860277791830444,1181,295
children,3.8957063844823385,398,79
kitchen,4.138889382152562,1378,345
stove,4.191238489247192,420,81
rented,4.573743694861986,1289,310
divided,4.775466647124055,223,27
first,5.051827383105545,935,203
single,5.350702344974503,637,120
one,5.382680070302429,2232,556
bedroom,5.5858380572067965,1294,289
home,5.645606057936327,3992,1057
multiple,5.7758005015886935,860,170
attic,6.15430083137595,756,137
two,6.231394618075158,2073,487
second,6.374816136247203,843,155
converted,7.244722941672909,3993,995
floor,8.506572508807185,3059,688
house,8.804238052386372,5006,1219
living,9.553688950892532,3469,763
people,10.305458188621397,3704,799
basement,11.216489458108974,9481,2375
room,12.592833743491562,3247,598
family,15.103486446958067,6590,1363
