word,z,n_asian,n_white
supposed family,1.5122525321611162,37,6
these people,1.6084005679582314,59,11
kid living,1.6139368496772073,30,4
car repair,1.6139368496772073,30,4
property owner,1.6363857652734732,253,64
repair shop,1.6622433444495248,56,10
three bedroom,1.6722047220027156,48,8
dob approval,1.6820145455598028,44,7
illegal room,1.6832392389279995,84,17
making lot,1.7097977796657677,27,3
open space,1.7153170009139835,36,5
basement people,1.7391909746623284,45,7
basement rented,1.7391909746623284,45,7
room basement,1.754625917570606,41,6
taking place,1.795255646817169,46,7
whole house,1.8015376867628912,33,4
basement first,1.8119327537147334,42,6
living basement,1.8130090418416605,110,23
four family,1.8226281677730871,91,18
converted two,1.8263459400237922,55,9
kitchen bathroom,1.82768965631863,95,19
basement family,1.8532479566550117,111,23
illegally altered,1.8680377464579327,43,6
basement floor,1.890584370408805,39,5
converted bedroom,1.892814904239708,30,3
original use,1.9621525864518974,106,21
new use,1.9689682300012683,62,10
late night,1.9768406617881393,45,6
first second,1.9916441652536234,30,0
small room,2.0058778941112334,32,3
possible illegal,2.0291521591250494,37,4
garage door,2.042750993252733,76,13
family unit,2.0603248813900334,51,7
bed room,2.0814028571819843,47,6
family live,2.125508295882771,61,9
one kitchen,2.1358379191586088,30,2
family residential,2.1411437752948546,57,8
rental unit,2.1599051285907387,53,7
basement well,2.1820512569467714,49,6
house owner,2.1847726935306016,31,2
third floor,2.200579115478778,96,17
illegally subdivided,2.2075639005191845,45,5
two room,2.2084411986137007,54,7
ozone park,2.232344504200365,32,2
children living,2.2953931794048947,69,10
basement illegally,2.295897692503011,173,36
private house,2.3276703761809943,223,49
family residence,2.346889002627705,83,13
new owner,2.3948629225422433,58,7
house converted,2.433615750028244,106,18
room occupancy,2.4408582082723957,81,12
one room,2.4438789855666987,50,5
gas stove,2.4582843661224723,127,23
room rent,2.4906905810325513,42,3
one living,2.493360671851759,38,2
many room,2.5992366802184654,49,4
two month,2.616041681260688,45,3
people going,2.6174306730360777,94,14
three family,2.6417064880103402,215,44
illegally converted,2.65167407150427,858,224
home converted,2.6937850615368926,96,14
people coming,2.719626851664866,210,42
too many,2.785673322803786,124,20
illegal conversion,2.820634658383859,1311,353
multiple people,2.8444840965900946,113,17
different family,2.8702482672565144,74,8
