geo,month,active_jobs,monitoring_events,monitoring_per_100_jobs,ecb_site_safety,ecb_cranes,idx_active_jobs_2020avg100,idx_monitoring_2020avg100
Manhattan,2024-07,43015,180,0.41845867720562596,4,3,519.060787369903,89.1456871646719
Manhattan,2024-08,43627,238,0.5455337291127054,1,3,526.445774045955,117.8704085843995
Manhattan,2024-09,43749,127,0.29029234953941807,5,1,527.9179445924883,62.897234832851844
Manhattan,2024-10,44193,157,0.3552598827868667,6,4,533.2756800241339,77.75484936029716
Manhattan,2024-11,43478,111,0.25530153180919085,2,3,524.6477952637135,54.97317375154766
Manhattan,2024-12,43121,126,0.29220101574638807,1,3,520.3398863693499,62.40198101527032
Manhattan,2025-01,42990,218,0.5070946731798093,4,6,518.7591130775805,107.9653322327693
Manhattan,2025-02,42272,239,0.5653860711582135,3,3,510.0950274020815,118.36566240198103
Manhattan,2025-03,42534,174,0.4090844971081958,1,3,513.2565739856202,86.17416425918285
Manhattan,2025-04,42396,144,0.3396546844041891,3,7,511.5913318920006,71.31654973173752
Manhattan,2025-05,42198,152,0.36020664486468557,5,1,509.2020714968072,75.2785802723896
Manhattan,2025-06,42230,126,0.29836609045702106,2,4,509.58821459097993,62.40198101527032
Manhattan,2025-07,42536,168,0.39495956366372015,7,3,513.280707929006,83.20264135369378
Manhattan,2025-08,42562,147,0.3453785066491236,1,3,513.5944491930212,72.80231118448205
Manhattan,2025-09,42686,244,0.5716159865061144,13,1,515.0907536829402,120.84193148988858
Manhattan,2025-10,42614,221,0.5186089078706528,7,15,514.2219317210518,109.45109368551383
Manhattan,2025-11,41725,205,0.4913121629718394,3,22,503.49439388606766,101.52703260420965
Manhattan,2025-12,41341,250,0.6047265426574103,3,8,498.86067675599577,123.81345439537763
Manhattan,2026-01,40536,163,0.4021117031774225,4,1,489.14676454321483,80.72637226578621
Manhattan,2026-02,39889,188,0.4713078793652385,6,7,481.3394338579114,93.10771770532398
Manhattan,2026-03,40153,209,0.5205090528727617,10,8,484.52511438483583,103.50804787453572
Manhattan,2026-04,39968,243,0.6079863891112891,0,0,482.2927246216501,120.34667767230707
Manhattan,2026-05,39192,206,0.525617472953664,0,0,472.92875458796317,102.02228642179116
Bronx,2020-01,366,270,73.77049180327869,34,14,21.551597232445165,214.5695364238411
Bronx,2020-02,721,161,22.330097087378643,13,4,42.45546886500809,127.94701986754968
Bronx,2020-03,1013,176,17.374136229022703,18,5,59.64963933460916,139.86754966887418
Bronx,2020-04,1083,102,9.418282548476455,7,2,63.771529515677905,81.05960264900662
Bronx,2020-05,1191,87,7.304785894206549,9,1,70.13101722361255,69.13907284768213
Bronx,2020-06,1519,121,7.965766951942068,8,5,89.44501692919181,96.158940397351
Bronx,2020-07,1831,97,5.297651556526488,3,5,107.81687030766966,77.08609271523179
Bronx,2020-08,2044,122,5.968688845401174,10,2,120.3591932872074,96.95364238410596
Bronx,2020-09,2326,113,4.858125537403268,5,2,136.96452230237009,89.80132450331126
Bronx,2020-10,2600,69,2.6538461538461537,6,3,153.09877815398204,54.83443708609271
Bronx,2020-11,2775,85,3.063063063063063,6,3,163.40350360665389,67.54966887417218
Bronx,2020-12,2910,107,3.6769759450171824,10,1,171.3528632415722,85.03311258278146
Bronx,2021-01,3093,86,2.7804720336243127,2,1,182.12866185779478,68.34437086092716
Bronx,2021-02,3270,84,2.5688073394495414,5,1,192.55115560135434,66.75496688741723
Bronx,2021-03,3532,223,6.313703284258211,11,13,207.97880170764023,177.21854304635764
Bronx,2021-04,3904,125,3.2018442622950816,1,3,229.88370381274842,99.33774834437087
Bronx,2021-05,4194,102,2.432045779685265,6,4,246.9601059914618,81.05960264900662
Bronx,2021-06,4402,471,10.699681962744208,13,6,259.20800824378034,374.30463576158945
Bronx,2021-07,4678,101,2.159042325780248,16,11,275.46003238628003,80.26490066225166
Bronx,2021-08,4944,141,2.8519417475728157,9,3,291.12321507434126,112.05298013245033
Bronx,2021-09,5199,145,2.7889978842085017,12,4,306.13867216252027,115.2317880794702
Bronx,2021-10,5465,141,2.5800548947849955,14,1,321.8018548505815,112.05298013245033
Bronx,2021-11,5710,91,1.5936952714535904,4,1,336.2284704843221,72.31788079470199
Bronx,2021-12,5951,151,2.537388674172408,7,1,350.4195495362874,120.0
Bronx,2022-01,6150,93,1.5121951219512195,5,3,362.13749447961135,73.90728476821192
Bronx,2022-02,6253,104,1.6632016632016633,11,2,368.2025614603268,82.64900662251657
Bronx,2022-03,6656,164,2.4639423076923075,3,3,391.932872074194,130.33112582781456
Bronx,2022-04,6914,210,3.03731559155337,19,3,407.1249815987046,166.88741721854305
Bronx,2022-05,7411,197,2.658210767777628,7,2,436.3904018842926,156.5562913907285
Bronx,2022-06,7822,146,1.866530299156226,3,1,460.5917856617106,116.02649006622516
Bronx,2022-07,7992,180,2.2522522522522523,10,4,470.60209038716323,143.04635761589404
Bronx,2022-08,8272,251,3.034332688588008,3,3,487.08965111143823,199.4701986754967
Bronx,2022-09,8481,203,2.393585662068152,5,5,499.39643750920067,161.3245033112583
Bronx,2022-10,8702,278,3.19466789243852,5,0,512.4098336522891,220.9271523178808
Bronx,2022-11,8858,185,2.08850756378415,0,3,521.595760341528,147.01986754966887
Bronx,2022-12,8943,217,2.426478810242648,4,3,526.6009127042544,172.4503311258278
Bronx,2023-01,9013,251,2.784866304227227,12,0,530.7228028853231,199.4701986754967
Bronx,2023-02,9123,210,2.3018743834265045,5,0,537.2000588841455,166.88741721854305
Bronx,2023-03,9263,224,2.4182230378926914,4,2,545.4438392462829,178.0132450331126
Bronx,2023-04,9252,236,2.5507998270644183,3,1,544.7961136464007,187.5496688741722
Bronx,2023-05,9395,304,3.2357637040979244,12,6,553.2165464448698,241.58940397350995
Bronx,2023-06,9527,294,3.085966201322557,5,1,560.9892536434564,233.64238410596028
Bronx,2023-07,9550,290,3.0366492146596857,4,2,562.3435889886648,230.4635761589404
Bronx,2023-08,9650,217,2.2487046632124352,4,4,568.2320035330488,172.4503311258278
Bronx,2023-09,9675,310,3.204134366925065,2,1,569.7041071691447,246.35761589403975
Bronx,2023-10,9758,269,2.7567124410739905,5,1,574.5914912409834,213.7748344370861
Bronx,2023-11,9796,83,0.847284605961617,4,2,576.8290887678493,65.96026490066225
Bronx,2023-12,9795,184,1.8785094435936702,0,0,576.7702046224053,146.22516556291393
Bronx,2024-01,9850,176,1.7868020304568528,3,1,580.0088326218166,139.86754966887418
Bronx,2024-02,9885,285,2.8831562974203337,7,4,582.069777712351,226.49006622516558
Bronx,2024-03,10052,165,1.641464385196976,3,0,591.9034300014721,131.12582781456953
Bronx,2024-04,10337,149,1.441424010834865,0,0,608.6854114529663,118.41059602649007
Bronx,2024-05,10436,244,2.33806055960138,2,4,614.5149418519064,193.90728476821192
Bronx,2024-06,10377,211,2.033342970029874,3,4,611.0407772707198,167.68211920529802
Bronx,2024-07,10538,195,1.8504460049345226,2,5,620.521124687178,154.96688741721854
Bronx,2024-08,10745,155,1.4425314099581201,4,5,632.7101427940528,123.17880794701988
Bronx,2024-09,10902,110,1.008989176297927,7,3,641.9549536287354,87.41721854304636
Bronx,2024-10,10906,142,1.302035576746745,2,2,642.1904902105108,112.8476821192053
Bronx,2024-11,10937,87,0.7954649355399104,1,1,644.0158987192699,69.13907284768213
Bronx,2024-12,11006,93,0.8449936398328185,2,1,648.0789047548948,73.90728476821192
Bronx,2025-01,11142,207,1.8578352180936994,8,4,656.0871485352568,164.50331125827816
Bronx,2025-02,11082,148,1.3354990073993864,2,1,652.5540998086266,117.61589403973511
Bronx,2025-03,11114,122,1.0977145942055064,2,3,654.4383924628294,96.95364238410596
Bronx,2025-04,11018,116,1.0528226538391723,10,1,648.7855145002209,92.18543046357617
Bronx,2025-05,11043,103,0.9327175586344291,6,3,650.2576181363169,81.8543046357616
