word,z,n_large,n_small
bringing,-5.626990978036465,56,394
cash,-5.62066458436535,19,229
inspector,-5.618249829761198,1096,4176
tent,-5.61333715520761,17,220
limit,-5.597307132866454,52,375
cone,-5.589905963730124,43,335
believe,-5.570573575160603,460,1934
spice,-5.563789052731485,1,673
withoutpermit,-5.556955673576991,10,191
egress,-5.556905603208219,286,1295
residing,-5.543021722501865,68,441
workorder,-5.5367282210023765,17,216
bell,-5.515318431505311,30,273
shower,-5.503104852753986,101,576
extend,-5.489224815760018,57,391
everything,-5.477887436121495,109,607
steel,-5.474216559472882,67,433
collapse,-5.445327560319474,136,713
excavating,-5.43900434134693,17,211
wiring,-5.377912297051765,262,1191
paying,-5.36916791255785,70,440
theproperty,-5.367329863709179,4,189
alleyway,-5.3638120751524925,3,212
red,-5.361250817708666,93,535
parlor,-5.349424201949377,6,174
antenna,-5.3237709886187154,23,232
immigrant,-5.305261790094132,16,200
rodent,-5.298668655787753,69,432
carbon,-5.295371678070477,48,342
refrigerator,-5.290483975157999,30,262
heater,-5.282105093185755,88,510
sell,-5.281587983322452,50,350
constructing,-5.253850897682218,38,296
damaged,-5.2473379653348955,250,1136
dump,-5.2192905364192885,21,218
detached,-5.219207545157183,10,172
mobile,-5.209082713825852,52,355
smell,-5.202394121918625,585,2343
roofing,-5.19688856915679,25,235
paved,-5.195651177505302,2,247
moved,-5.195409368917457,261,1173
rooming,-5.178923679980211,5,165
abandon,-5.165012560914424,5,164
myproperty,-5.1622288292896625,4,171
approved,-5.16156920494953,276,1226
adjoining,-5.1541265679403425,25,233
ladder,-5.150586863858201,93,523
sheet,-5.144395522594096,70,428
throwing,-5.144027388483658,116,615
performed,-5.128078904380379,135,689
garden,-5.125913541575798,112,598
contractor,-5.119142428427355,437,1808
website,-5.117097230294317,80,468
shingle,-5.103117541515741,8,160
altering,-5.072850232323613,11,168
noticed,-5.065715875504811,194,912
individual,-5.040450111690429,311,1345
hazard,-5.039332435090168,700,2729
brownstone,-5.038685760243091,1,435
stone,-5.038044058419294,34,268
convertedinto,-5.027254919214872,6,153
purchased,-5.026350300983578,10,162
detector,-5.024265141782055,17,191
reflect,-5.013136081540026,12,169
add,-4.9895542452271355,45,314
plumber,-4.9878856574094375,108,574
stinky,-4.981420840399219,3,171
permitted,-4.972637689847358,112,589
cinder,-4.971285565810073,12,167
pavement,-4.968196473545753,13,171
ripped,-4.948712369115189,32,255
photo,-4.939275945992712,128,650
astoria,-4.935574989334461,23,214
people,-4.9336011869701135,4807,16407
demolishing,-4.90734504875786,34,262
bsmt,-4.86636386215494,4,148
cemented,-4.863273743008259,3,160
large,-4.86020548792556,486,1958
google,-4.858095086292876,18,188
previou,-4.834250414298868,232,1038
anillegal,-4.830758574367807,7,143
patio,-4.82975397959148,65,391
pad,-4.823763068429472,17,182
tow,-4.823155979410698,11,156
massage,-4.798840902607542,12,159
junk,-4.773509484800445,7,140
oil,-4.749492893755413,65,387
plywood,-4.718663930904854,100,527
charging,-4.717082174782337,38,271
empty,-4.708276623661773,75,426
stopwork,-4.7071607904689525,15,168
going,-4.705502254730749,3280,11336
heat,-4.6857893875140375,834,3152
foster,-4.662923241798175,4,134
obtained,-4.659145146317264,23,202
suv,-4.6477002435388,10,144
toward,-4.646826813849332,101,527
caller',-4.645983301204818,78,435
prostitution,-4.64450584992733,9,140
short,-4.632219150473539,375,1542
sidewalk,-4.631054844410619,1422,5144
clogged,-4.627416324060702,77,430
term,-4.59298510995273,333,1388
found,-4.569267782473958,146,697
detail,-4.566153563402986,65,378
sanitation,-4.562480273134125,13,153
peopleliving,-4.528240719751706,14,156
include,-4.513307023072057,96,500
hole,-4.499389638653732,449,1793
occupy,-4.493759005892887,27,213
tire,-4.4903919529976095,13,150
well,-4.488736513789015,1169,4269
middle,-4.4743931809267945,232,1012
overgrown,-4.459917951671073,8,128
nasty,-4.454569750022656,18,171
sheetrock,-4.445782232761091,41,272
beam,-4.437448101238047,208,921
storing,-4.435941990090119,39,263
hook,-4.434699826340669,28,215
propane,-4.419392625710163,6,120
townhouse,-4.416897103552367,13,147
modification,-4.403880601181979,20,178
fire,-4.381147984884509,1900,6704
improper,-4.377559972764859,56,332
zone,-4.371141089389516,35,243
overcrowding,-4.370373959647535,42,273
men,-4.369723149631048,124,601
survey,-4.362017510950156,11,136
piping,-4.351696554362933,145,680
infestation,-4.341613260026703,23,189
pvc,-4.337791710035496,3,119
packing,-4.334667902770284,6,116
unregistered,-4.333467836592513,5,114
anywhere,-4.332087737392844,69,383
illegallyconverted,-4.322823650606273,3,118
mixed,-4.315712496357697,173,783
foot,-4.308731199924125,127,609
weed,-4.3068488542688765,34,236
bnb,-4.3024897143404015,60,345
change,-4.28670178285591,191,848
online,-4.279452115794979,52,311
infront,-4.277188929547901,18,164
current,-4.274584541567233,167,758
taxe,-4.2692055550885994,6,113
tank,-4.2679394435489675,72,392
poured,-4.265464853336482,13,141
cooking,-4.2605049853106145,110,541
hair,-4.260433812357563,37,247
changing,-4.253571614401148,42,268
owner',-4.251519145246955,12,136
excavated,-4.2404244671450115,4,109
tore,-4.224602425940154,6,111
appliance,-4.217606618151897,30,215
jamaica,-4.211915590590113,19,166
everywhere,-4.211279453279735,124,592
partition,-4.206153126874669,54,316
familyhome,-4.202020642930227,1,204
entrance,-4.201844353404909,745,2790
semi,-4.194099772835353,10,125
advertised,-4.193441858467165,40,257
mechanic,-4.187765000881287,37,244
yellow,-4.185112934771654,69,376
unit,-4.183849026399572,2315,8045
structural,-4.183735089604686,244,1035
notpast,-4.177584192106496,2,123
hydrant,-4.176373513211729,29,209
material,-4.176184152980909,526,2032
lord,-4.171856174249908,7,112
filed,-4.169801368122555,179,796
paper,-4.168910123677205,62,347
bought,-4.162039729027541,23,182
music,-4.161761501648229,114,551
sink,-4.161443608346773,125,593
hooked,-4.159259385268452,19,164
color,-4.156323777518461,48,289
elmhurst,-4.156186495577271,6,108
electrician,-4.149527440240919,50,297
swo,-4.134458843345759,13,136
lead,-4.117765739615879,203,881
access,-4.110808321435819,1048,3809
stoop,-4.10945343352602,1,187
beauty,-4.106104216976543,11,126
areliving,-4.104696367946988,4,102
fake,-4.102309946159229,39,249
raised,-4.087266168502615,25,188
thebackyard,-4.079953134118311,2,115
property',-4.071898653432077,9,116
stealing,-4.0670548326562335,12,129
flowing,-4.066141336315736,20,165
renter,-4.059736687992548,49,289
flow,-4.0579401682229745,64,350
accommodate,-4.0565081385604,23,178
migrant,-4.048964013969526,7,107
offender,-4.045597722363469,9,115
double,-4.039300901424547,48,284
insufficient,-4.025387534753375,15,141
aapartment,-4.022913882734047,4,98
greene,-4.019073464704633,9,114
theback,-4.019073464704633,9,114
saw,-4.016019357481544,189,823
hiding,-4.013571043602458,30,207
activity,-4.0122003671236595,285,1170
barber,-4.0115304363811095,3,99
con,-3.9995655132285735,120,565
belong,-3.9919742783485748,48,282
