word,z,n_agency,n_caller
purposely,-3.6790763726434483,1,194
coney,-3.676440157913041,4,127
aluminum,-3.6756448421924164,16,204
worn,-3.6753696992792695,3,126
nichola,-3.67517123360766,5,131
referenced,-3.671366980903922,2,134
rebuilding,-3.671366980903922,2,134
regardless,-3.671366980903922,2,134
intothe,-3.667016159101864,6,136
kick,-3.667016159101864,6,136
standalone,-3.663102798255195,1,191
portion,-3.661175500057386,96,702
option,-3.65772358140982,1,190
liquid,-3.653641552559613,15,196
fridge,-3.6523165350228006,1,189
aredoing,-3.6523165350228006,1,189
horizontally,-3.6497703851947376,2,132
aid,-3.648745973185482,6,135
bakery,-3.6480669545702717,12,175
worki,-3.6472499655446513,3,124
ahead,-3.6472499655446513,3,124
donot,-3.6472499655446513,3,124
express,-3.645435077038917,7,141
nailed,-3.644261303645737,4,125
rebuilt,-3.643934595609914,10,161
brightly,-3.6414177606398477,1,187
christma,-3.6359254241301766,1,186
disrupting,-3.6359254241301766,1,186
ofthe,-3.6358445822326724,133,915
takingplace,-3.6330199749896894,3,123
boundary,-3.6279793602499457,4,124
arenot,-3.62643655450218,7,140
gun,-3.6263942353849976,11,167
producing,-3.624853294029734,1,184
withviolation,-3.624853294029734,1,184
accommodation,-3.6192728617429517,1,183
bulb,-3.6192728617429517,1,183
barrel,-3.6186741129919113,3,122
packed,-3.6186741129919113,3,122
noon,-3.613662416729622,1,182
hosting,-3.6118014620245953,6,133
arrested,-3.611566333491306,4,123
article,-3.611566333491306,4,123
areliving,-3.6080216263102622,1,181
crime,-3.6080216263102622,1,181
flush,-3.605579818538254,2,128
insect,-3.604210481518196,3,121
halfway,-3.604210481518196,3,121
occasionally,-3.5966476506807954,1,179
hes,-3.5966476506807954,1,179
depot,-3.5950201071573593,4,122
brighton,-3.5950201071573593,4,122
thefire,-3.5950201071573593,4,122
positive,-3.593123166313624,6,132
caught,-3.592395828569114,63,500
weren't,-3.589627135728469,3,120
michael,-3.589627135728469,3,120
remodeled,-3.5829649337142966,2,126
motion,-3.5829649337142966,2,126
til,-3.5829649337142966,2,126
