term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,outcome,n
asian_uncl,0.5327977784727177,0.042021280019271245,12.67923723952181,0.0,0.45043758305067344,0.6151579738947619,ppml_n_conv,conversion complaints,456228
black_c,0.1699506703220565,0.04726586927457604,3.5956319629875444,0.00032360503460915346,0.07731126884590911,0.2625900717982039,ppml_n_conv,conversion complaints,456228
hisp_c,0.19660494946428347,0.037933857745423905,5.182835628891465,2.1853762177670433e-07,0.12225595448858682,0.2709539444399801,ppml_n_conv,conversion complaints,456228
mixed_uncertain,0.2561765476173802,0.04024052574160677,6.366133217601229,1.9385315574993456e-10,0.17730656644487394,0.3350465287898864,ppml_n_conv,conversion complaints,456228
owner_occ_star,-0.17236827691927287,0.026085120849521002,-6.607915597310259,3.8976821770120296e-11,-0.2234941743167089,-0.12124237952183683,ppml_n_conv,conversion complaints,456228
era_pre1940,0.30760155566404057,0.05038258235857916,6.105315394014577,1.0259788574273898e-09,0.2088535087931023,0.40634960253497887,ppml_n_conv,conversion complaints,456228
era_4079,0.17779257289441475,0.04726924849384436,3.7612735247434235,0.0001690504437941165,0.08514654827020558,0.2704385975186239,ppml_n_conv,conversion complaints,456228
era_8099,0.02291881324047464,0.05750672802191268,0.39854142339208604,0.6902311302731947,-0.08979230255121455,0.13562992903216384,ppml_n_conv,conversion complaints,456228
era_unknown,0.6660956365719694,0.48103199806120245,1.3847220959451039,0.16613745999239482,-0.2767097550393288,1.6089010281832676,ppml_n_conv,conversion complaints,456228
com_class,-0.5337438795114,0.1108075893448332,-4.816853093431977,1.4583997896000511e-06,-0.7509227638409774,-0.31656499518182263,ppml_n_conv,conversion complaints,456228
log_bldgarea,0.3981980192533853,0.20026670322239518,1.988338614688176,0.04677425284590586,0.005682493634919128,0.7907135448718515,ppml_n_conv,conversion complaints,456228
mzone,-0.09896225390142693,0.11088458957404311,-0.8924797781331458,0.37213582691965574,-0.31629205590705706,0.11836754810420319,ppml_n_conv,conversion complaints,456228
multi_bldg,0.06854357342436133,0.02013241615539959,3.4046372226404475,0.0006625200422456512,0.02908476283800579,0.10800238401071688,ppml_n_conv,conversion complaints,456228
log2_area_per_unit,-0.1595575527018734,0.1393750229878439,-1.144807364198891,0.252288964102239,-0.43272757810248963,0.11361247269874283,ppml_n_conv,conversion complaints,456228
value_rank,0.12147675327067305,0.09098416461935925,1.3351417115152113,0.18182996985331368,-0.05684893254673455,0.29980243908808063,ppml_n_conv,conversion complaints,456228
any_prior_viol,0.5413619452305244,0.026220599197723217,20.646436839533852,0.0,0.48997051514992707,0.5927533753111217,ppml_n_conv,conversion complaints,456228
geo_nyc_other,0.04711306857069945,0.020248457243058727,2.3267485520088225,0.019978652099119643,0.007426821631805136,0.08679931550959376,ppml_n_conv,conversion complaints,456228
geo_outside_nyc,0.14946184228190112,0.03447987135538957,4.334756378333722,1.4592163464444141e-05,0.0818825362337633,0.21704114833003896,ppml_n_conv,conversion complaints,456228
geo_unknown,-0.4450738602420738,0.024005623729872402,-18.54039975175598,0.0,-0.4921240181790438,-0.3980237023051038,ppml_n_conv,conversion complaints,456228
multi_prop_owner,0.1799409250509202,0.02340337687383288,7.6886735628357386,1.4876988529977098e-14,0.13407114926159014,0.22581070084025023,ppml_n_conv,conversion complaints,456228
sg_chinese,0.03198264118872997,0.04696174130609066,0.6810361008607236,0.4958486477094002,-0.06006068042249475,0.12402596279995469,ppml_n_ecb_2020on,ECB citations,458649
sg_indian,0.22987412314546637,0.11405142364476414,2.0155305019379246,0.04384909342213028,0.006337440416208651,0.4534108058747241,ppml_n_ecb_2020on,ECB citations,458649
sg_indo_caribbean,0.21617539290677457,0.08431548295946542,2.5638872638694443,0.01035071584895797,0.050920082967121666,0.38143070284642744,ppml_n_ecb_2020on,ECB citations,458649
sg_korean,0.03846972293380012,0.2055116289642246,0.18719000539135874,0.8515116608775797,-0.36432566824023876,0.44126511410783903,ppml_n_ecb_2020on,ECB citations,458649
sg_muslim_sa,0.4048857385572577,0.07013754495317656,5.772738963525986,7.799322077062243e-09,0.26741867648497253,0.5423528006295428,ppml_n_ecb_2020on,ECB citations,458649
