outcome,outcome_label,conv_def,conv_def_label,term,b,se,t,p,ci_lo,ci_hi,irr,irr_lo,irr_hi,n_obs,n_jobs_sample,n_events,fe,offset,cluster,window,unit
n_stat,statutory_periodic (agency contrast),conversion_office,office/store-class conversion (relaxed + PLUTO class O/K),jt_altco_existing,0.9471925787586956,0.045611636272652654,20.766467861329573,0.0,0.8577954143883556,1.0365897431290356,2.578460663348214,2.3579566421387774,2.8195850905908295,385747,406769,47287,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_stat,statutory_periodic (agency contrast),conversion_office,office/store-class conversion (relaxed + PLUTO class O/K),jt_full_demolition,0.5416016105975596,0.10946684217165659,4.947631628473086,7.512190312031208e-07,0.3270505424397823,0.756152678755337,1.718757439049375,1.3868715712818012,2.1300653899461257,385747,406769,47287,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_caller_incident,"caller placebo: construction-incident complaints (mixed_incident, agency=0)",conversion,"non-residential-to-residential conversion, any size (Alt-CO family, 0 existing units, >0 proposed)",conversion,0.4667678305249235,0.1642608903733767,2.841624865565546,0.004488427142113727,0.14482240132462298,0.788713259725224,1.5948310893340043,1.1558342774020687,2.2005630506331744,347866,406769,26471,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_caller_incident,"caller placebo: construction-incident complaints (mixed_incident, agency=0)",conversion,"non-residential-to-residential conversion, any size (Alt-CO family, 0 existing units, >0 proposed)",log_cost,0.03915034338850502,0.0056269692591455695,6.957625248240618,3.460565167756613e-12,0.02812168629846567,0.050179000478544365,1.0399268180195622,1.028520833699942,1.0514592912483387,347866,406769,26471,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_caller_incident,"caller placebo: construction-incident complaints (mixed_incident, agency=0)",conversion,"non-residential-to-residential conversion, any size (Alt-CO family, 0 existing units, >0 proposed)",log_floor,0.04096404000444843,0.00783242177483359,5.230060533265749,1.6945454417438555e-07,0.0256127754140473,0.056315304594849555,1.0418146412220113,1.025943600960951,1.0579312017229092,347866,406769,26471,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_caller_incident,"caller placebo: construction-incident complaints (mixed_incident, agency=0)",conversion,"non-residential-to-residential conversion, any size (Alt-CO family, 0 existing units, >0 proposed)",floor_missing,-1.2191337600345182,0.1545581573113292,-7.887864226918777,3.1086244689504383e-15,-1.5220621818815996,-0.9162053381874369,0.2954860178917878,0.2182613279885875,0.40003415893314515,347866,406769,26471,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_caller_incident,"caller placebo: construction-incident complaints (mixed_incident, agency=0)",conversion,"non-residential-to-residential conversion, any size (Alt-CO family, 0 existing units, >0 proposed)",jt_new_building,0.6416457997153071,0.07981595633398042,8.039066737863996,8.881784197001252e-16,0.48520939990908385,0.7980821995215304,1.8996046768636554,1.6245151465545775,2.2212768751436447,347866,406769,26471,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_caller_incident,"caller placebo: construction-incident complaints (mixed_incident, agency=0)",conversion,"non-residential-to-residential conversion, any size (Alt-CO family, 0 existing units, >0 proposed)",jt_alteration_co,0.318586578655001,0.0631521743626369,5.04474441094602,4.541280000935899e-07,0.19481059135883894,0.4423625659511631,1.3751826774965004,1.215080817885841,1.5563799285193871,347866,406769,26471,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_caller_incident,"caller placebo: construction-incident complaints (mixed_incident, agency=0)",conversion,"non-residential-to-residential conversion, any size (Alt-CO family, 0 existing units, >0 proposed)",jt_altco_existing,1.1797938535556178,0.0909027473065898,12.978638033639399,0.0,1.0016277427389564,1.3579599643722793,3.253703394363828,2.722710095029393,3.8882530306188943,347866,406769,26471,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_caller_incident,"caller placebo: construction-incident complaints (mixed_incident, agency=0)",conversion,"non-residential-to-residential conversion, any size (Alt-CO family, 0 existing units, >0 proposed)",jt_full_demolition,1.6820983220833665,0.11902571253104827,14.13222644346351,0.0,1.448812212288294,1.915384431878439,5.376826456124218,4.258053846229277,6.789548414207776,347866,406769,26471,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
