Coefficient,Estimate,Std. Error,t value,Pr(>|t|),2.5%,97.5%,contrast,outcome,arms_length
event_t::-3:treat,0.0045893115584133065,0.012056235567516074,0.3806587497990332,0.7034613230098037,-0.01904218867948855,0.028220811796315165,A->W vs A->A,n_ecb,False
event_t::-2:treat,-0.004133268267779635,0.011549914147934732,-0.3578613844951146,0.7204515729136909,-0.026772324829520272,0.018505788293961004,A->W vs A->A,n_ecb,False
event_t::0:treat,0.008858249904128002,0.01126521299932176,0.7863366546785514,0.4316814411170973,-0.013222762214676746,0.030939262022932748,A->W vs A->A,n_ecb,False
event_t::1:treat,0.03185635124785319,0.0162266381194132,1.9632132678019691,0.04963796858612968,5.041975026019718e-05,0.06366228274544618,A->W vs A->A,n_ecb,False
event_t::2:treat,0.04443052757468875,0.01746649187679411,2.5437579502566807,0.010975637543082728,0.010194351230067858,0.07866670391930965,A->W vs A->A,n_ecb,False
event_t::3:treat,0.02016009335366566,0.014453004701015943,1.3948721231820085,0.16307295635814278,-0.00816932855566612,0.04848951526299744,A->W vs A->A,n_ecb,False
event_t::4:treat,0.03953662126237399,0.01811065281712702,2.183058869362495,0.029045350307605577,0.004037821163474502,0.07503542136127347,A->W vs A->A,n_ecb,False
C(event_t)[T.-3],-0.04983373053125805,56.41242788987533,-0.0008833821268699907,0.9992951736827296,-110.62417475386852,110.52450729280599,A->W vs A->A,n_ecb,False
C(event_t)[T.-2],-0.09440647318024871,112.82487525448998,-0.0008367522939183725,0.9993323783357895,-221.24312669240905,221.05431374604856,A->W vs A->A,n_ecb,False
C(event_t)[T.-1],-0.14492254898108542,169.2374899471446,-0.0008563265091342757,0.9993167606110755,-331.8683499448044,331.57850484684224,A->W vs A->A,n_ecb,False
C(event_t)[T.0],-0.18933161764329315,225.65045724464224,-0.0008390482339595993,0.9993305464687445,-442.48815733294606,442.1094940976595,A->W vs A->A,n_ecb,False
C(event_t)[T.1],-0.23188614760515475,282.0624738156783,-0.0008221091748514101,0.9993440616754943,-553.1042466577011,552.6404743624909,A->W vs A->A,n_ecb,False
