word,z,n_strict,n_lenient
invoice,-5.521513290702154,1,135
allow,-5.466677491614305,90,122
permit,-5.4510328115581395,8366,5810
action,-5.442665889465391,2307,1737
legal,-5.348748566785505,93,123
posting,-5.318460441770692,28,60
competent,-5.308059169481808,97,126
type,-5.290684131171427,38,70
taking,-5.277053965863629,160,180
demo,-5.251103447175893,280,277
restaurant,-5.238716014645391,59,90
station,-5.2099885497474325,48,79
premise,-5.084854811380982,623,533
rail,-5.069187706529134,83,110
met,-5.043057757464973,31,60
commissioner,-5.040433089334135,580,500
test,-5.035813486555337,35,64
vacant,-4.986461140617026,142,160
requirement,-4.938049479107112,282,272
mbco,-4.9131043425689125,1,81
size,-4.85855643196365,33,60
change,-4.812101070363968,53,79
social,-4.777259657942628,27,53
longer,-4.768639236764158,31,57
conforming,-4.757751177305956,105,125
audit,-4.659216735128599,78,100
replacement,-4.633254720485197,51,75
fswo,-4.558151455002675,53,76
allowed,-4.529511895474293,240,231
minor,-4.520770856636594,109,125
but,-4.4977785434061754,180,183
yet,-4.490285180218995,37,60
started,-4.437242612265042,47,69
inactive,-4.424897306509323,93,110
updated,-4.388895830202767,82,100
load,-4.315972288375384,41,62
follow,-4.3115689377719395,40,61
comp,-4.293717549427768,35,56
next,-4.211705163855521,39,59
hanging,-4.173572998641235,132,139
demolished,-4.167800962562917,90,104
soe,-4.159921324869176,75,91
painting,-4.122710804385693,79,94
such,-4.110592440673777,52,70
padlock,-4.091966863315824,34,53
granted,-4.078769986682897,48,66
exhaust,-4.056417884247239,45,63
tile,-3.9178847562500607,68,82
coming,-3.9001081732025598,49,65
transient,-3.7940181832606625,185,175
fixed,-3.7149653258014834,39,54
superintendent,-3.6968885353421563,169,161
one,-3.6934519748196464,398,332
structural,-3.6518006962278293,297,257
defect,-3.6211231359597256,136,134
book,-3.620931954633395,40,54
accessory,-3.585169115584012,69,79
tenant,-3.5777271876402508,165,156
complete,-3.565524811718389,271,236
removed,-3.443863263285301,698,539
new,-3.427043113477678,1229,905
shop,-3.4107206806454924,56,66
green,-3.401399421739541,39,51
effect,-3.401399421739541,39,51
engineer,-3.39256942565869,106,107
method,-3.379556154115498,95,98
post,-3.361732916439363,137,131
school,-3.2900522051595145,47,57
con,-3.27081397463813,37,48
beam,-3.2542789164105415,121,117
orientation,-3.245618444360982,70,76
pool,-3.2241352794841522,42,52
cleaning,-3.2184373667580073,56,64
house,-3.1791960002013218,346,283
jobsite,-3.1550969909596556,425,339
paver,-3.135170407381748,35,45
guard,-3.0725717943689648,91,91
viewing,-3.057750499916854,118,112
written,-3.0481868444214077,69,73
enclosure,-3.010502654223419,49,56
dismissed,-3.0032298199959753,82,83
dispatch,-2.9949437814231135,0,189
checked,-2.9784321820629422,40,48
final,-2.97291750713264,53,59
car,-2.9363679237157063,260,216
platform,-2.9303344096654995,97,94
court,-2.914553751098808,43,50
person,-2.891683540268861,235,197
dust,-2.830581339197914,96,92
safe,-2.799477329717466,276,225
restored,-2.7649185560698295,47,52
alteration,-2.71458414352941,209,175
expiring,-2.674292055842783,42,47
qbco,-2.6680551294297112,0,150
backyard,-2.6055522842431524,50,53
driveway,-2.602217309740313,277,222
can,-2.5641301240429004,120,107
previou,-2.5567394767783664,99,91
flr,-2.5352356452173685,57,58
dwelling,-2.5286912754379927,134,117
white,-2.523569892067578,80,76
required,-2.515023377956748,1213,860
existing,-2.514619049878676,292,231
light,-2.5116962558095626,491,370
special,-2.4875428312406975,87,81
connection,-2.4141256188712403,61,60
observred,-2.3962683871529418,0,121
note,-2.392078235073621,45,47
general,-2.34763085999278,109,96
simon,-2.336094301654757,0,115
complaint,-2.282169619356141,1492,1037
sheetrock,-2.2668095039637306,59,57
display,-2.25435946579427,49,49
placed,-2.25435946579427,49,49
project,-2.2186163215236188,137,115
lee,-2.200080991033806,0,102
garage,-2.193500218349629,555,406
approval,-2.1663034765656435,127,107
partial,-2.1619605587304473,565,412
storm,-2.111792895808911,43,43
pvo,-2.1015966685535794,52,50
pre,-2.0718822809742496,155,126
superceded,-2.0550893999446065,0,89
set,-2.042261501904475,45,44
black,-2.0241587271798465,62,57
slab,-2.0233205586589493,94,81
stability,-1.9661015125619048,72,64
common,-1.9405577634987872,98,83
hazardou,-1.9403118646494695,470,342
board,-1.8966331813261381,57,52
adequately,-1.868452361865775,43,41
filing,-1.8476365870382048,79,68
specific,-1.8218219439347418,93,78
hoist,-1.8127153410815984,41,39
formwork,-1.7888386517592727,53,48
running,-1.730883336972512,55,49
illegal,-1.6352258924491387,618,434
licensee,-1.5549344319612808,49,43
badge,-1.527838834633635,383,274
ongoing,-1.4453713488773554,396,281
form,-1.3680289292380339,47,40
faade,-1.3158474019133413,81,64
adj,-1.3126046701920766,74,59
documentation,-1.2823707974096128,59,48
cmu,-1.2729947280988065,103,79
heavy,-1.2418523718403633,47,39
observe,-1.2251371834177311,403,281
document,-1.1922084512505742,389,271
outside,-1.1561393524715728,153,112
owner,-1.1230759684294398,355,247
installation,-1.1204630903243353,328,229
accessible,-1.1150530616227339,71,55
permanent,-1.114038201653237,47,38
resolved,-1.0990918866860422,87,66
electric,-1.095177451200043,166,120
open,-1.023085132016156,411,282
removal,-1.0158328002145653,181,129
paint,-1.0133714057819225,97,72
failing,-0.9836270421363815,80,60
walk,-0.9782175646894973,158,113
vio,-0.9240115883667794,240,167
tree,-0.9198079098316085,97,71
scaffolding,-0.8790837650519456,157,111
intent,-0.8533813750828975,47,36
knocked,-0.8533813750828975,47,36
well,-0.8435655249865487,82,60
covered,-0.8332625937534043,134,95
date,-0.8299590307701231,185,129
long,-0.7597316341514508,67,49
two,-0.7528973131658943,264,180
outdoor,-0.6995025561569745,96,68
guardrail,-0.6837014791973662,214,146
shoring,-0.6668579611110934,101,71
adjoining,-0.6522311229932033,61,44
use,-0.6388861760967284,1027,672
prov,-0.6363414377355422,88,62
perimeter,-0.6088657396415238,117,81
revoke,-0.5364164889458533,52,37
ssm,-0.5325007607970474,61,43
proposed,-0.5140309036259993,261,174
block,-0.5126476845611575,105,72
enlargement,-0.49253594948999524,63,44
home,-0.4587339788384313,74,51
unlawfully,-0.40436278803283854,49,34
super,-0.393457310511931,153,102
knock,-0.3827792497045823,72,49
clear,-0.37365877805458536,138,92
tool,-0.36686471914991575,57,39
temp,-0.36544002234168077,132,88
doing,-0.3519868552426272,77,52
personnel,-0.3152165197606411,50,34
notify,-0.2876842575347247,101,67
ahv,-0.28633812317400026,118,78
scope,-0.27783880860476534,146,96
grade,-0.17148720823679073,78,51
cement,-0.16384755942139037,75,49
canopy,-0.13936038286181165,66,43
shift,-0.10759882296470676,118,76
inside,-0.09684333107999184,195,125
operating,-0.09154819421960524,51,33
doc,-0.06527009138318353,56,36
maintenance,-0.0612315682780427,78,50
family,-0.054427502897824616,251,160
sealed,-0.03356882777437122,113,72
installing,0.005735039876819864,90,57
fdny,0.012927578890353305,68,43
porch,0.015623045505898717,117,74
locked,0.05810940510943864,295,186
hallway,0.06223362568032947,159,100
manager,0.10706258590309017,82,51
constructed,0.1219226829822364,87,54
excessive,0.18121011553451347,300,187
subject,0.207548404549721,69,42
chain,0.21997955416965592,74,45
system,0.22458483959245912,648,405
intact,0.23813342175584715,50,30
served,0.2576296259221403,573,357
inspect,0.27068068201043644,52,31
prior,0.2736938884391633,197,121
blocked,0.27931647817704064,91,55
spoke,0.2808468381691476,112,68
parking,0.2858590523033771,633,394
info,0.34026058875324666,61,36
occupied,0.3445315543677001,447,276
entrance,0.349719436420682,404,249
