inspector_badge,total_cases,violation_rate,mean_severity,mean_comment_length,n_categories,top_category,n_boroughs,primary_unit,loo_strictness,no_access_rate
3407,532,0.2650375939849624,0.45864661654135336,132.9266917293233,41,Date,5,STATEN ISLAND CONSTRUCTION ENFORCEMENT,0.2650375939849624,0.3684210526315789
3408,181,0.988950276243094,2.088397790055249,184.97790055248618,2,CONSTRUCTION SAFETY COMPLIANCE ACTIONS : MAJOR BUILDING,2,CONSTRUCTION SAFETY COMPLIANCE,0.988950276243094,0.0
3409,90,0.5222222222222223,1.1111111111111112,182.76666666666668,9,ENFORCEMENT WORK ORDER : INTER-AGENCY REFERRAL,5,EXECUTIVE INSPECTIONS,0.5222222222222223,0.04081632653061224
3415,157,0.9745222929936306,2.070063694267516,185.78980891719746,3,CONSTRUCTION SAFETY COMPLIANCE ACTIONS : LOW RISE,4,CONSTRUCTION SAFETY COMPLIANCE,0.9745222929936306,0.0
3416,98,0.15306122448979592,0.3469387755102041,183.09183673469389,19,INSPECTIONS : GENERAL CONTRACTOR : GUT REHAB,4,CONSTRUCTION SAFETY ENFORCMENT,0.15306122448979592,0.0
3417,126,0.30158730158730157,0.7619047619047619,148.484126984127,24,Date,1,BROOKLYN CONSTRUCTION ENFORCEMENT,0.30158730158730157,0.2391304347826087
3418,1020,0.1284313725490196,0.28627450980392155,17.250980392156862,3,SUSTAINABILITY ENFORCEMENT WORK ORDER : LL 85/09: NYC ENERGY CONSERVATION CODE,5,SUSTAINABILITY ENFORCEMENT,0.1284313725490196,0.42209631728045327
3424,947,0.22175290390707497,0.48785638859556496,161.3062302006336,48,Date,5,CONSTRUCTION SAFETY ENFORCMENT,0.22175290390707497,0.005202913631633715
3428,98,0.02040816326530612,0.061224489795918366,132.92857142857142,6,LOCAL LAW 188/17 COMPLIANCE INSPECTIONS - ACTIVE JOBS : INITIAL,3,REAL TIME ENFORCEMENT,0.02040816326530612,0.24427480916030533
3430,780,0.6358974358974359,1.3243589743589743,188.6102564102564,50,ENFORCEMENT WORK ORDER : INTER-AGENCY REFERRAL,5,EXECUTIVE INSPECTIONS,0.6358974358974359,0.3847305389221557
3431,146,0.18493150684931506,0.3835616438356164,102.61643835616438,12,INSPECTIONS : GENERAL CONTRACTOR : LOW RISE,5,CONSTRUCTION SAFETY ENFORCMENT,0.18493150684931506,0.0
3435,164,0.9451219512195121,2.0609756097560976,86.16463414634147,4,CONSTRUCTION SAFETY COMPLIANCE ACTIONS : LOW RISE,5,CONSTRUCTION SAFETY COMPLIANCE,0.9451219512195121,0.0
3436,101,0.27722772277227725,0.5841584158415841,161.98019801980197,11,TRACKING COMPLIANCE : AREA : LOW RISE,5,CONSTRUCTION SAFETY ENFORCMENT,0.27722772277227725,0.0
3437,145,0.19310344827586207,0.38620689655172413,135.0,13,INSPECTIONS : AREA : LOW RISE,5,CONSTRUCTION SAFETY ENFORCMENT,0.19310344827586207,0.006711409395973154
3438,449,0.9933184855233853,2.024498886414254,90.03118040089088,3,CONSTRUCTION SAFETY COMPLIANCE ACTIONS : MAJOR BUILDING,4,CONSTRUCTION SAFETY COMPLIANCE,0.9933184855233853,0.0
3439,1133,0.5057369814651368,0.9311562224183584,8.436010591350398,5,ELEVATOR : NOT WORKING : SINGLE DEVICE ON PROPERTY/NO ALTERNATE SERVICE,5,ELEVATOR DIVISION,0.5057369814651368,0.0034129692832764505
3440,813,0.4797047970479705,1.081180811808118,139.83640836408364,32,Date,4,SPECIAL OPERATIONS,0.4797047970479705,0.2516025641025641
3443,496,0.4778225806451613,0.9536290322580645,48.715725806451616,5,BOILER : DEFECTIVE,3,BOILER DIVISION,0.4778225806451613,0.13885505481120586
3445,248,0.22580645161290322,0.5161290322580645,142.3951612903226,15,WORK WITHOUT A PERMIT - OCCUPIED MULTIPLE DWELLING : CONSTRUCTION,5,REAL TIME ENFORCEMENT,0.22580645161290322,0.22093023255813954
3448,668,0.7305389221556886,1.5104790419161678,146.02245508982037,46,Date,5,QUEENS CONSTRUCTION ENFORCEMENT,0.7305389221556887,0.0
3452,125,0.784,2.48,58.488,4,Date,5,MANHATTAN CONSTRUCTION ENFORCEMENT,0.784,0.0
3454,1140,0.5745614035087719,1.2429824561403509,183.8517543859649,17,Date,5,SPECIAL OPERATIONS,0.5745614035087719,0.10153396639883126
3455,294,0.11904761904761904,0.25510204081632654,116.41156462585035,23,INSPECTIONS : GENERAL CONTRACTOR : LOW RISE,5,CONSTRUCTION SAFETY ENFORCMENT,0.11904761904761904,0.003367003367003367
3458,1733,0.3658395845354876,1.0761684939411424,192.72360069244084,54,Date,5,EMERGENCY RESPONSE TEAM,0.3658395845354876,0.1675011379153391
3461,212,0.9858490566037735,2.9952830188679247,35.54716981132076,2,Date,5,MANHATTAN CONSTRUCTION ENFORCEMENT,0.9858490566037735,0.0
3462,109,0.908256880733945,3.36697247706422,45.403669724770644,4,Date,5,QUEENS CONSTRUCTION ENFORCEMENT,0.908256880733945,0.0
3463,35,0.8285714285714286,2.5428571428571427,78.34285714285714,1,Date,4,MANHATTAN CONSTRUCTION ENFORCEMENT,0.8285714285714286,0.0
3466,62,0.12903225806451613,0.45161290322580644,83.54838709677419,2,Date,4,BROOKLYN CONSTRUCTION ENFORCEMENT,0.12903225806451613,0.0
3470,101,0.13861386138613863,0.27722772277227725,128.27722772277227,1,Date,4,ENFORCEMENT OPERATIONS UNIT,0.13861386138613863,0.0
